# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 16.11.2020 по 27.12.2020, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru
#
"Местное время в Санкт-Петербурге";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.12.2020 21:00";"-3.0";"762.9";"763.3";"-0.1";"89";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"";"-3.0";"Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.";"100%.";"300-600";"";"";"10.0";"-4.6";"Осадков нет";"12";"";"";"";"";
"27.12.2020 18:00";"-3.5";"763.0";"763.3";"0.3";"85";"Ветер, дующий с востоко-юго-востока";"3";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"300-600";"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";"";"10.0";"-5.7";"Осадков нет";"12";"";"";"";"";
"27.12.2020 15:00";"-3.6";"762.7";"763.1";"0.7";"83";"Ветер, дующий с юго-юго-востока";"2";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"90  или более, но не 100%";"300-600";"Высококучевых, высокослоистых или слоисто-дождевых облаков нет.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-6.1";"";"";"";"";"";"";
"27.12.2020 12:00";"-3.1";"762.0";"762.4";"1.2";"81";"Ветер, дующий с юга";"3";"";"";"90  или более, но не 100%";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"70 – 80%.";"1000-1500";"Высококучевые просвечивающие, расположенные на одном уровне.";"Перистых, перисто-кучевых или перисто-слоистых нет.";"10.0";"-5.9";"";"";"";"";"";"";
"27.12.2020 09:00";"-3.1";"760.8";"761.2";"1.1";"76";"Ветер, дующий с востоко-юго-востока";"2";"";"";"100%.";" ";"";"";"-4.9";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-6.7";"Осадков нет";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"14.0";
"27.12.2020 06:00";"-4.3";"759.7";"760.1";"1.0";"82";"Штиль, безветрие";"0";"";"";"100%.";" ";"";"";"-5.0";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-6.9";"Осадков нет";"12";"";"";"";"";
"27.12.2020 03:00";"-4.3";"758.7";"759.1";"1.1";"86";"Ветер, дующий с северо-запада";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"600-1000";"";"";"10.0";"-6.3";"";"";"";"";"";"";
"27.12.2020 00:00";"-4.1";"757.6";"758.0";"1.5";"86";"Ветер, дующий с севера";"1";"";"";"100%.";" ";"";"";"";"";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-6.1";"";"";"";"";"";"";
"26.12.2020 21:00";"-4.6";"756.1";"756.5";"0.7";"85";"Ветер, дующий с северо-северо-запада";"1";"";"";"100%.";"Состояние неба в общем не изменилось. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"-3.2";"Слоисто-кучевые, образовавшиеся не из кучевых.";"100%.";"300-600";"";"";"10.0";"-6.8";"0.9";"12";"";"";"";"";
"26.12.2020 18:00";"-4.9";"755.4";"755.8";"1.1";"83";"Ветер, дующий с севера";"2";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-7.3";"2.0";"12";"";"";"";"";
"26.12.2020 15:00";"-4.6";"754.3";"754.6";"0.8";"87";"Ветер, дующий с северо-северо-востока";"2";"";"";"";" ";"";"";"";"";"";"";"300-600";"";"";"3.0";"-6.4";"";"";"";"";"";"";
"26.12.2020 12:00";"-3.6";"753.5";"753.9";"0.9";"88";"Ветер, дующий с севера";"1";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения.  Диаметр отложения мокрого снега составляет 3 мм.";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-5.3";"";"";"";"";"";"";
"26.12.2020 09:00";"-3.2";"752.6";"753.0";"0.5";"86";"Ветер, дующий с северо-северо-востока";"5";"";"";"100%.";"Снег непрерывный слабый в срок наблюдения. ";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"100-200";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"4.0";"-5.3";"5.0";"12";"";"";"Ровный слой сухого рассыпчатого снега покрывает поверхность почвы полностью.";"10.0";
"26.12.2020 06:00";"-2.9";"752.1";"752.5";"0.0";"93";"Ветер, дующий с северо-северо-востока";"1";"";"";"100%.";"Снег с перерывами сильный в срок наблюдения.  Диаметр отложения мокрого снега составляет 1 мм.";"Снег и/или другие виды твердых осадков";"Облака покрывали более половины неба в течение всего соответствующего периода.";"-3.3";"";"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";"100%.";"200-300";"Высокослоистые непросвечивающие или слоисто-дождевые.";"";"1.0";"-3.9";"6.0";"12";"";"";"";"";
