Adygey;RU-AD
Altay;RU-AL
Amur;RU-AM
Arkhangel'sk;RU-AR
Astrakhan';RU-AS
Bashkortostan;RU-BK
Belgorod;RU-BL
Bryansk;RU-BR
Buryat;RU-BU
Chechnya;RU-CN
Chelyabinsk;RU-CL
Chukot;RU-CK
Chuvash;RU-CV
Dagestan;RU-DA
Gorno-Altay;RU-GA
Ingush;RU-IN
Irkutsk;RU-IK
Ivanovo;RU-IV
Kabardin-Balkar;RU-KB
Kaliningrad;RU-KN
Kalmyk;RU-KL
Kaluga;RU-KG
Kamchatka;RU-KQ
Karachay-Cherkess;RU-KC
Karelia;RU-KI
Kemerovo;RU-KE
Khabarovsk;RU-KH
Khakass;RU-KK
Khanty-Mansiy;RU-KM
Kirov;RU-KV
Komi;RU-KO
Kostroma;RU-KT
Krasnodar;RU-KD
Krasnoyarsk;RU-KX
Kurgan;RU-KU
Kursk;RU-KS
Leningrad;RU-LN
Lipetsk;RU-LP
Magadan;RU-MG
Mariy-El;RU-ME
Mordovia;RU-MR
Moscow City;RU-MC
Moskva;RU-MS
Murmansk;RU-MM
Nenets;RU-NN
Nizhegorod;RU-NZ
North Ossetia;RU-NO
Novgorod;RU-NG
Novosibirsk;RU-NS
Omsk;RU-OM
Orel;RU-OL
Orenburg;RU-OB
Penza;RU-PZ
Perm';RU-PE
Primor'ye;RU-PR
Pskov;RU-PS
Rostov;RU-RO
Ryazan';RU-RZ
Saint Petersburg City;RU-SP
Sakha;RU-SK
Sakhalin;RU-SL
Samara;RU-SA
Saratov;RU-SR
Smolensk;RU-SM
Stavropol';RU-ST
Sverdlovsk;RU-SV
Tambov;RU-TB
Tatarstan;RU-TT
Tomsk;RU-TO
Tula;RU-TL
Tuva;RU-TU
Tver';RU-TV
Tyumen';RU-TY
Udmurt;RU-UD
Ul'yanovsk;RU-UL
Vladimir;RU-VL
Volgograd;RU-VG
Vologda;RU-VO
Voronezh;RU-VR
Yamal-Nenets;RU-YN
Yaroslavl';RU-YS
Yevrey;RU-YV
Zabaykal'ye;RU-ZB
